year_month,monthly_count,monthly_helpful_rate,prev_month_count,rolling_3mo_avg
2002-05,1,1.0,,1.0
2002-07,1,1.0,1.0,1.0
2002-09,1,1.0,1.0,1.0
2002-10,1,0.0,1.0,1.0
2002-11,1,1.0,1.0,1.0
2002-12,1,0.0,1.0,1.0
2003-03,2,0.5,1.0,1.3333333333333333
2003-05,1,1.0,2.0,1.3333333333333333
2003-06,1,1.0,1.0,1.3333333333333333
2003-07,2,1.0,1.0,1.3333333333333333
2003-10,1,0.0,2.0,1.3333333333333333
2003-12,3,0.3333333333333333,1.0,2.0
2004-01,1,1.0,3.0,1.6666666666666667
2004-02,5,0.8,1.0,3.0
2004-03,2,0.5,5.0,2.6666666666666665
2004-04,2,1.0,2.0,3.0
2004-05,4,1.0,2.0,2.6666666666666665
2004-06,3,1.0,4.0,3.0
2004-07,7,0.42857142857142855,3.0,4.666666666666667
2004-08,2,0.0,7.0,4.0
2004-10,3,0.3333333333333333,2.0,4.0
2004-11,2,1.0,3.0,2.3333333333333335
2004-12,4,0.25,2.0,3.0
2005-01,4,0.5,4.0,3.3333333333333335
2005-02,2,0.5,4.0,3.3333333333333335
2005-03,1,1.0,2.0,2.3333333333333335
2005-04,1,0.0,1.0,1.3333333333333333
2005-05,4,0.75,1.0,2.0
2005-06,1,1.0,4.0,2.0
2005-07,4,0.5,1.0,3.0
2005-08,15,0.6666666666666666,4.0,6.666666666666667
2005-09,16,0.5,15.0,11.666666666666666
2005-10,8,0.75,16.0,13.0
2005-11,6,0.6666666666666666,8.0,10.0
2005-12,7,0.7142857142857143,6.0,7.0
2006-01,7,0.8571428571428571,7.0,6.666666666666667
2006-02,12,0.8333333333333334,7.0,8.666666666666666
2006-03,14,0.7142857142857143,12.0,11.0
2006-04,5,0.8,14.0,10.333333333333334
2006-05,6,1.0,5.0,8.333333333333334
2006-06,4,0.75,6.0,5.0
2006-07,15,0.6666666666666666,4.0,8.333333333333334
2006-08,18,0.7777777777777778,15.0,12.333333333333334
2006-09,10,0.8,18.0,14.333333333333334
2006-10,9,0.7777777777777778,10.0,12.333333333333334
2006-11,31,0.5161290322580645,9.0,16.666666666666668
2006-12,23,0.782608695652174,31.0,21.0
2007-01,158,0.3670886075949367,23.0,70.66666666666667
2007-02,53,0.49056603773584906,158.0,78.0
2007-03,56,0.5357142857142857,53.0,89.0
2007-04,35,0.4857142857142857,56.0,48.0
2007-05,87,0.4367816091954023,35.0,59.333333333333336
2007-06,58,0.4827586206896552,87.0,60.0
2007-07,50,0.36,58.0,65.0
2007-08,78,0.44871794871794873,50.0,62.0
2007-09,53,0.5283018867924528,78.0,60.333333333333336
2007-10,62,0.41935483870967744,53.0,64.33333333333333
2007-11,80,0.4125,62.0,65.0
2007-12,99,0.3939393939393939,80.0,80.33333333333333
2008-01,128,0.4453125,99.0,102.33333333333333
2008-02,78,0.3076923076923077,128.0,101.66666666666667
2008-03,80,0.4,78.0,95.33333333333333
2008-04,86,0.4883720930232558,80.0,81.33333333333333
2008-05,87,0.4367816091954023,86.0,84.33333333333333
2008-06,96,0.4895833333333333,87.0,89.66666666666667
2008-07,97,0.41237113402061853,96.0,93.33333333333333
2008-08,92,0.42391304347826086,97.0,95.0
2008-09,108,0.4074074074074074,92.0,99.0
2008-10,105,0.4,108.0,101.66666666666667
2008-11,91,0.3956043956043956,105.0,101.33333333333333
2008-12,130,0.3384615384615385,91.0,108.66666666666667
2009-01,185,0.372972972972973,130.0,135.33333333333334
2009-02,117,0.4358974358974359,185.0,144.0
2009-03,109,0.42201834862385323,117.0,137.0
2009-04,119,0.35294117647058826,109.0,115.0
2009-05,105,0.44761904761904764,119.0,111.0
2009-06,107,0.42990654205607476,105.0,110.33333333333333
2009-07,75,0.4533333333333333,107.0,95.66666666666667
2009-08,106,0.5471698113207547,75.0,96.0
2009-09,128,0.4140625,106.0,103.0
2009-10,103,0.4368932038834951,128.0,112.33333333333333
2009-11,100,0.47,103.0,110.33333333333333
2009-12,163,0.39263803680981596,100.0,122.0
2010-01,163,0.36809815950920244,163.0,142.0
2010-02,160,0.48125,163.0,162.0
2010-03,138,0.391304347826087,160.0,153.66666666666666
2010-04,147,0.5374149659863946,138.0,148.33333333333334
2010-05,141,0.44680851063829785,147.0,142.0
2010-06,123,0.5528455284552846,141.0,137.0
2010-07,158,0.4430379746835443,123.0,140.66666666666666
2010-08,139,0.4244604316546763,158.0,140.0
2010-09,156,0.38461538461538464,139.0,151.0
2010-10,170,0.4117647058823529,156.0,155.0
2010-11,172,0.5406976744186046,170.0,166.0
2010-12,204,0.4803921568627451,172.0,182.0
2011-01,262,0.4770992366412214,204.0,212.66666666666666
2011-02,185,0.5135135135135135,262.0,217.0
2011-03,231,0.43722943722943725,185.0,226.0
2011-04,179,0.5363128491620112,231.0,198.33333333333334
2011-05,202,0.4405940594059406,179.0,204.0
2011-06,207,0.4492753623188406,202.0,196.0
2011-07,179,0.4301675977653631,207.0,196.0
2011-08,213,0.4788732394366197,179.0,199.66666666666666
2011-09,290,0.3896551724137931,213.0,227.33333333333334
2011-10,298,0.3691275167785235,290.0,267.0
2011-11,320,0.48125,298.0,302.6666666666667
2011-12,439,0.38724373576309795,320.0,352.3333333333333
2012-01,442,0.4004524886877828,439.0,400.3333333333333
2012-02,302,0.423841059602649,442.0,394.3333333333333
2012-03,335,0.40298507462686567,302.0,359.6666666666667
2012-04,304,0.4440789473684211,335.0,313.6666666666667
2012-05,343,0.46647230320699706,304.0,327.3333333333333
2012-06,389,0.4370179948586118,343.0,345.3333333333333
2012-07,432,0.44675925925925924,389.0,388.0
2012-08,442,0.43665158371040724,432.0,421.0
2012-09,536,0.44216417910447764,442.0,470.0
2012-10,746,0.42091152815013405,536.0,574.6666666666666
2012-11,954,0.3742138364779874,746.0,745.3333333333334
2012-12,2180,0.3321100917431193,954.0,1293.3333333333333
2013-01,2238,0.34763181411974975,2180.0,1790.6666666666667
2013-02,1745,0.34097421203438394,2238.0,2054.3333333333335
